종목코드,종목명,운용사,평균 순자산총액,평균 거래대금,평균 거래량,평균 외국인보유비중
137610,TIGER 농산물선물Enhanced(H),미래에셋자산운용,13516.0,70.0,13064,0.0
185680,KODEX 미국S&P바이오(합성),삼성자산운용,13516.0,93.0,3695,0.0
322410,HANARO 고배당,엔에이치아문디자산운용,13460.0,448.0,26058,0.0
0000Z0,RISE 바이오TOP10액티브,케이비자산운용,13349.0,461.0,39826,0.0
152500,ACE 레버리지,한국투자신탁운용,13218.0,389.0,40235,0.29
138910,KODEX 구리선물(H),삼성자산운용,13119.0,576.0,65583,0.01
100910,KIWOOM KRX100,키움투자자산운용,13108.0,33.0,5085,0.0
091220,TIGER 은행,미래에셋자산운용,13044.0,1406.0,112416,0.04
457990,PLUS 태양광&ESS,한화자산운용,13041.0,786.0,48619,0.07
275300,KODEX 우량주,삼성자산운용,12818.0,28.0,2666,0.0
442090,에셋플러스 코리아대장장이액티브,에셋플러스자산운용,12771.0,90.0,6011,0.0
395280,HANARO Fn K-게임,엔에이치아문디자산운용,12737.0,67.0,14898,0.01
385600,ACE 2차전지&친환경차액티브,한국투자신탁운용,12655.0,191.0,30265,0.0
226980,KODEX 200 중소형,삼성자산운용,12644.0,425.0,23922,0.07
461910,PLUS 미국테크TOP10레버리지(합성),한화자산운용,12614.0,125.0,4732,0.0
455660,ACE 미국하이일드액티브(H),한국투자신탁운용,12545.0,124.0,12564,0.0
156080,KODEX MSCI Korea,삼성자산운용,12516.0,42.0,2222,0.0
291130,ACE 멕시코MSCI(합성),한국투자신탁운용,12478.0,26.0,1778,0.0
276000,TIGER 글로벌자원생산기업(합성 H),미래에셋자산운용,12472.0,13.0,854,0.0
433880,PLUS TDF2060액티브,한화자산운용,12456.0,189.0,12389,0.0
465670,TIGER 미국캐시카우100,미래에셋자산운용,12298.0,63.0,5140,0.0
446700,RISE 배터리 리사이클링,케이비자산운용,12290.0,116.0,13813,0.01
472840,ITF 200,아이비케이자산운용,12257.0,12.0,276,0.0
275280,KODEX 모멘텀주,삼성자산운용,12214.0,160.0,8716,0.0
456250,KODEX 유럽명품TOP10 STOXX,삼성자산운용,12189.0,109.0,11161,0.0
0021E0,ACE TDF2050액티브,한국투자신탁운용,12177.0,130.0,12587,0.0
105780,RISE 5대그룹주,케이비자산운용,12166.0,28.0,4359,0.0
417450,RISE 글로벌수소경제,케이비자산운용,12129.0,116.0,14655,0.0
337150,KODEX 200exTOP,삼성자산운용,12014.0,172.0,10846,0.0
217780,TIGER 차이나CSI300인버스(합성),미래에셋자산운용,11940.0,17.0,2341,0.62
451670,RISE 국채30년레버리지(합성),케이비자산운용,11901.0,22.0,874,0.0
114460,ACE 국고채3년,한국투자신탁운용,11891.0,49.0,476,0.0
461450,KODEX 코스닥글로벌,삼성자산운용,11827.0,21.0,1698,0.0
433220,에셋플러스 글로벌대장장이액티브,에셋플러스자산운용,11806.0,49.0,2429,0.0
305050,ACE 코스피,한국투자신탁운용,11795.0,240.0,7480,0.02
419650,PLUS 글로벌수소&차세대연료전지,한화자산운용,11793.0,146.0,41051,0.0
449690,TIGER 한중반도체(합성),미래에셋자산운용,11754.0,1.0,49,0.0
